Tenure,Children,Age,Outage_sec_perweek,OnlineSecurity,MonthlyCharge,Bandwidth_GB_Year,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None
16.04202196,1,72,7.972937227,0,147.473844,1530.10769,0,1,1,0
9.179779682,3,21,11.42906608,0,172.457857,1310.137419,0,0,1,0
3.002844144,3,55,8.06137096,1,107.481989,892.8964931,0,0,0,0
3.924254455,4,41,12.54780492,1,255.141716,1125.581944,0,1,1,0
18.55959629,4,32,8.255565152,0,192.456745,2016.710031,0,1,1,0
8.798394712,0,22,13.156514,1,242.632554,1412.736809,0,1,1,0
10.377366,2,44,10.58349704,1,245.174977,1710.689671,0,0,0,1
22.25746016,2,23,12.50184778,1,184.964681,2384.885909,0,0,1,0
9.427146079,3,43,9.750038902,1,195.006206,1213.940165,0,0,1,0
7.760290062,1,86,7.868660851,0,104.962874,740.010722,0,1,0,1
11.56938439,2,84,12.43563329,0,92.488023,897.9716153,0,0,0,1
3.343811019,2,62,8.957166926,0,184.979684,1026.387172,0,0,0,0
7.338869531,5,68,8.015021713,0,187.656013,1234.244324,0,0,0,1
5.486534225,1,59,4.210347704,0,149.962093,727.3731845,0,0,1,0
1.55278221,0,31,11.13960534,0,169.944668,452.8721504,1,0,1,0
12.07970325,0,51,9.03738856,1,160.00128,1296.674543,0,0,1,0
13.98666226,1,58,10.91594785,0,129.962093,1840.628269,1,0,0,0
9.563362997,1,73,8.387624096,0,114.950905,1324.330108,0,0,0,0
6.732948946,1,33,11.4487514,1,142.515576,958.1397059,0,1,0,1
15.72071086,1,58,10.22013704,0,220.14775,1868.864027,0,1,0,1
7.233605493,0,49,8.425458142,0,124.97808,676.712908,0,1,1,0
2.871017037,1,26,8.386280619,1,164.964681,1086.990308,1,0,0,0
2.344875382,1,25,9.565924291,0,194.976769,704.7540406,0,0,1,0
7.960490246,0,42,10.79349982,1,152.455519,1416.444695,0,0,0,0
12.25062113,1,81,6.081975067,0,92.5018,1095.950634,0,0,0,1
9.634946079,1,43,13.55065547,0,127.488728,1083.610268,0,0,0,1
7.916533093,2,63,9.470419821,0,184.963371,1570.641337,0,1,0,0
4.471254161,3,70,6.194985909,0,265.146969,1007.425553,0,0,1,0
10.79028074,1,78,10.80393657,0,207.609354,1323.028419,0,0,1,0
12.24190682,0,48,7.903964267,1,152.462354,1808.730555,0,0,0,0
2.203859443,1,63,11.27443693,0,200.132293,1120.241472,0,0,0,0
23.92132231,4,60,6.129509309,1,212.655686,2676.789803,1,0,0,1
3.7311787,0,87,7.969277912,0,255.119794,1268.086909,1,0,0,0
7.980015371,3,54,4.368120492,0,134.950905,822.6771666,0,1,1,0
9.190009376,3,35,6.258356398,0,255.137219,1577.915603,0,0,1,0
2.378630018,1,70,12.92303286,0,214.966286,648.7471776,0,0,1,0
5.43464555,2,67,12.43301273,1,270.160419,1648.102673,1,0,0,0
1.092361222,4,46,7.607663559,0,200.165175,768.0874545,0,1,0,1
20.13981517,1,50,7.442789019,0,149.937833,2426.030626,0,1,0,0
24.64873861,1,24,13.04429298,0,240.114868,2660.503932,0,0,1,0
9.677739656,0,20,14.89762162,1,127.495766,1129.549713,0,0,1,0
9.82814183,1,29,13.79387475,0,187.609354,1771.286466,1,0,0,0
7.832238337,0,31,15.66367593,0,169.992756,943.3391244,0,0,1,0
19.45250317,5,72,8.513410306,0,192.456745,1907.226083,0,1,1,0
14.34766616,4,71,8.265002035,1,120.004928,1885.939118,0,0,0,0
2.257358355,2,32,8.6026551,1,195.006206,631.7435653,1,0,1,0
2.358129018,0,33,6.03993035,1,139.95684,562.6095219,1,0,1,0
4.650578623,3,67,14.6040829,0,114.983787,593.8572264,0,0,0,1
3.721772616,0,66,7.274007029,0,207.638588,777.3060718,0,0,0,1
3.76663012,4,21,8.913898759,0,187.609354,1393.202392,0,0,0,0
4.151256695,0,61,11.59313893,0,134.950905,393.6524652,1,0,1,0
2.188918771,0,75,8.294186076,0,192.470522,409.7486664,0,0,1,0
13.85488928,0,63,15.19664016,0,222.628057,2138.107161,0,0,0,0
3.273341151,0,68,5.083995994,1,162.468917,443.984031,0,1,1,0
19.75096265,2,32,6.942719201,0,159.979358,2481.385603,0,1,0,0
18.38404445,0,76,9.834012571,0,184.979684,2233.567181,0,1,0,0
4.672610857,0,29,11.0596826,1,245.145743,1158.91369,0,0,1,0
6.796299371,0,83,8.834079073,0,124.97808,529.40733,0,0,1,0
12.97632235,10,23,5.271228601,1,187.484705,1956.7337,0,0,1,0
20.31163945,5,80,9.394961367,1,162.500692,2056.386979,0,0,1,0
6.998814446,0,20,14.4754365,0,182.467607,1067.373076,1,0,1,0
14.46288204,0,69,10.68311773,0,222.660939,1806.135733,0,0,0,1
11.13472066,1,32,13.79409442,0,182.467607,1397.701335,1,0,1,0
2.542296644,0,53,12.40165307,0,220.161527,808.4305471,0,0,0,1
17.22596021,2,25,10.24782033,0,169.937833,1886.531937,0,1,1,0
22.79214163,0,69,14.86100819,0,204.963371,2294.781131,0,0,1,0
3.823689744,3,71,6.716953195,0,204.963371,826.3438621,0,0,1,0
10.77094687,3,53,8.124258176,1,245.128318,2072.564168,0,0,0,0
13.08671185,2,56,14.60903837,0,172.473314,1436.793746,0,0,0,1
14.76468813,0,42,12.65015936,0,172.456745,1963.332683,0,0,0,0
9.473091121,3,33,12.0281501,0,194.976769,1324.164906,0,0,1,0
5.197446331,1,47,15.68043093,0,137.439154,704.9375603,0,0,1,0
6.577552683,1,48,11.30421466,0,192.470522,888.6517305,0,1,1,0
3.174571918,0,63,10.26646787,0,159.951231,377.0810282,0,0,1,0
17.88002366,1,40,7.56618217,0,112.455141,1606.489936,0,0,1,0
13.12190056,0,67,10.40677369,1,174.961766,1431.409396,0,0,1,0
23.34617699,0,56,7.146124361,1,162.452604,2253.85247,0,0,1,0
6.311709178,6,24,9.807530479,0,137.483594,1353.29384,1,0,0,0
12.58298231,2,79,10.61217014,0,275.133571,1701.457566,0,1,1,0
7.120096363,3,61,5.785085772,0,127.442069,1290.737183,0,0,0,0
9.344886869,0,38,9.062879297,0,210.138,1403.270091,0,1,0,1
22.37815032,4,28,16.54443477,0,147.456419,2603.903672,0,1,0,0
4.799514433,3,44,4.539566699,0,242.657291,1256.287854,1,0,0,1
10.04672315,1,65,7.251198724,0,114.983787,980.9935923,0,0,0,1
8.156552837,3,35,8.943293567,0,187.656013,1347.869205,0,0,0,1
7.992791229,2,31,12.57884215,0,149.991327,1127.267848,0,1,0,1
7.231032028,2,34,11.64836306,0,124.960655,1269.836202,0,1,0,0
4.627672042,2,68,6.076260652,0,220.161527,1038.745378,0,0,0,1
10.05306287,0,62,11.75681641,0,172.48852,1531.155367,0,1,0,0
4.171044392,0,52,9.173739977,1,120.004928,991.2441024,0,1,0,0
4.568682641,5,32,8.353693631,0,220.161527,1244.296865,0,0,0,1
6.085030507,0,47,10.74539526,0,139.965008,1162.332926,0,0,0,0
2.730250735,8,66,11.36323648,0,159.951231,577.1157824,0,0,1,0
8.574901206,1,70,2.310584634,0,184.949594,1442.974877,0,0,0,0
9.743201772,3,41,5.290318715,0,252.637807,1577.208717,0,0,1,0
9.482919033,2,59,5.258274954,0,112.455141,886.9398744,0,0,1,0
8.447988841,1,46,7.157580014,0,179.979358,1065.06443,0,1,1,0
6.365998533,3,70,2.120350511,0,202.443347,951.886985,1,0,1,0
7.251397592,1,89,4.978546291,0,197.472533,1404.435534,1,0,0,0
14.64011644,4,75,6.547676875,1,255.155493,1925.911722,1,0,1,0
11.71637124,0,26,7.410590719,0,174.976769,1805.011298,0,0,0,0
4.13273503,4,25,11.39765385,0,169.992756,700.7343179,0,1,1,0
2.887429547,1,84,11.29945603,0,192.440432,513.237305,0,0,1,0
3.303030246,3,69,11.30748265,0,182.460772,717.3876564,0,0,1,0
5.15825129,3,31,10.31551212,0,139.965008,1313.492851,1,0,0,0
3.237560234,10,76,13.71555406,0,137.461553,819.4195269,0,0,0,1
2.733109234,8,75,15.40917963,0,217.472533,882.1160656,0,0,1,0
3.180102025,1,74,11.9664542,0,210.138,724.7803356,0,1,0,1
15.85983755,1,49,10.18046877,0,104.964303,1829.270014,0,1,0,0
11.73724209,1,47,14.01485542,0,262.610632,1668.199119,0,0,1,0
7.006240694,4,20,14.62784306,1,152.488401,1124.353152,0,0,0,1
5.562130367,2,26,10.90517581,1,174.974431,1316.239744,1,0,0,0
14.53027663,2,72,8.894475174,0,220.118516,1637.201426,1,0,1,0
5.905906389,1,41,10.50187888,1,162.452604,951.8524406,0,0,1,0
3.260462654,3,26,12.34250072,1,184.961033,1248.097652,0,0,0,0
18.91276578,4,55,10.29380879,1,217.483972,2220.255405,1,0,1,0
14.25617986,1,46,8.512650562,0,220.118516,1669.202417,0,1,1,0
7.983887266,0,87,7.82671592,0,187.642236,990.0555076,1,0,0,1
5.969967132,1,39,6.985590245,1,174.961766,967.9819136,0,1,1,0
19.95277818,0,81,11.40449185,0,252.637807,2190.259876,0,1,1,0
14.85781115,0,83,10.44249511,1,130.024412,1445.752781,1,0,0,1
2.600063739,0,50,15.38627887,1,162.482694,528.6553088,0,0,1,0
11.92299244,3,87,10.68024546,0,182.467607,1296.481055,0,0,1,0
5.972864167,3,76,10.62439366,0,139.934918,1195.393037,0,1,0,0
10.87555535,6,25,10.91642397,0,200.165175,1700.121992,0,1,0,1
16.00330155,3,34,8.580626195,1,202.682861,2120.673828,0,1,0,1
12.63074989,1,46,8.996933306,0,159.951231,1238.421347,0,1,1,0
8.4944392,1,73,7.602570192,0,149.948316,847.110799,0,0,1,0
8.044444101,8,57,9.217689334,1,149.959755,1112.937102,0,0,1,0
12.07358377,3,58,9.591529444,0,137.469817,1623.045026,0,1,0,0
10.21634248,4,70,13.36027908,0,187.656013,1479.730181,1,0,0,1
15.50354683,0,53,4.372034777,1,164.985293,2144.735024,0,0,0,0
13.88004531,0,31,10.59285179,0,159.965008,1522.289512,0,0,1,0
19.48900163,0,38,12.81260566,1,172.462354,1974.780054,1,0,1,0
10.01771765,0,26,3.767298987,0,204.949594,1261.177198,0,1,1,0
7.34059599,2,44,17.56798903,0,147.473844,939.7181324,1,0,1,0
12.64742067,3,66,11.2369761,0,162.471255,1357.062854,0,0,1,0
8.850426839,1,58,8.54892416,1,119.95684,1456.887443,0,1,0,0
3.701557118,6,51,6.094109902,0,207.609354,937.5863866,1,0,1,0
2.976033785,4,34,13.9077275,0,194.999168,830.1193011,1,0,0,1
5.522376826,0,87,7.905333122,1,174.975543,737.8564608,0,1,1,0
15.64596698,1,67,12.53830949,0,240.114868,1781.854862,0,0,1,0
23.00764441,4,59,12.8219418,0,240.114868,2464.577489,0,0,1,0
17.24924155,7,23,8.941553742,0,139.983006,2392.203409,1,0,0,0
13.01107597,0,42,10.51043963,0,240.114868,1664.19271,0,0,1,0
5.104082209,1,24,11.86384439,1,209.993134,1433.616898,0,1,0,0
3.521499924,2,81,10.76051016,0,147.456419,823.4933243,0,1,0,0
8.08137067,8,78,11.05420024,1,107.495766,1468.357421,0,0,0,0
1.875430489,1,51,8.174495258,1,152.502178,590.7765801,0,0,0,1
5.587484456,1,70,10.05388383,0,79.978861,418.6206885,1,0,0,1
7.007695148,0,87,7.045552801,1,142.482694,1181.991846,0,1,0,0
1.408375942,0,46,8.957297136,0,117.439154,733.4036934,1,0,0,0
11.64983735,8,56,15.74015572,0,220.132293,1719.173387,0,0,1,0
2.964559883,4,44,13.41209586,1,152.455519,1205.956363,0,1,0,0
10.25635754,0,33,14.89835355,1,174.961766,1261.032763,0,0,1,0
3.892407013,0,19,13.62135046,0,202.443347,741.7766988,0,0,1,0
3.226996711,1,31,14.95912113,1,210.12704,932.6084359,0,1,1,0
15.87685513,1,34,11.741245,1,139.979239,1708.614019,1,0,0,1
5.874064017,4,43,7.765121655,0,139.965008,1363.58603,0,1,0,0
3.756359276,1,82,7.130431693,0,137.439154,472.1057019,0,0,1,0
2.905283283,6,36,8.359515606,0,102.474625,558.2340556,0,0,0,1
1.474810061,1,48,9.42799205,0,252.637807,815.194738,0,0,1,0
18.56165869,0,52,10.95510131,0,194.999168,2007.303617,0,0,0,1
12.39088509,1,35,10.8621377,0,242.610632,2088.48083,0,0,0,0
14.17192333,3,83,7.352533505,0,127.458638,1430.761492,0,0,0,1
3.86023041,0,20,11.38860234,1,129.976324,822.3008694,0,1,0,1
17.72593456,0,25,9.580144161,0,240.114868,2059.200998,1,0,1,0
3.043063167,0,88,10.79191234,1,174.975543,617.542543,0,0,1,0
5.827112819,1,54,9.982341124,0,169.944668,758.4775985,1,0,1,0
4.648958177,1,46,6.511921085,1,162.511928,894.6733856,0,0,0,1
11.96274778,2,75,10.70500472,1,119.95684,1639.898269,0,0,0,0
4.525864256,5,66,11.58410296,0,137.439154,710.7541633,0,0,1,0
8.038308899,0,51,8.01651453,1,207.46728,1092.226042,0,1,1,0
1.416592892,3,81,15.12148226,1,149.974105,757.0097075,1,0,0,0
19.83504645,0,75,12.63643487,1,225.178625,2301.850721,0,0,0,1
15.85002222,3,54,16.68178185,0,232.637807,2401.406545,0,0,0,0
15.94935291,2,73,11.08409914,0,117.472036,1535.788894,0,0,0,1
11.94550648,0,53,12.99948061,0,137.469817,1536.589816,0,0,0,0
16.03360405,8,33,11.17949466,0,220.132293,2153.778421,0,0,1,0
21.29342532,5,41,7.369412654,0,124.960655,2409.195918,0,1,0,0
4.95598008,1,59,9.84688181,1,199.990219,1342.862457,1,0,0,0
2.73951266,3,23,18.19542503,0,159.947583,1046.054674,0,0,0,0
4.973046104,1,32,13.53989069,1,245.145743,1204.479468,1,0,1,0
10.28430068,3,51,5.458806701,1,255.155493,1616.908193,0,0,1,0
2.581692044,1,46,12.0772854,0,134.950905,345.0099528,0,1,1,0
6.945736396,3,37,6.918984305,0,159.947583,1427.088655,0,0,0,0
9.999416271,0,53,14.84155042,1,139.987503,1452.334634,0,0,0,0
6.035737465,1,62,12.66717474,0,179.947583,795.4957358,0,0,1,0
9.004964377,1,57,11.43786808,0,127.473844,1333.894229,0,0,0,0
5.071456681,2,80,6.915228797,0,232.637807,1402.20491,1,0,0,0
12.02106494,1,43,11.30215199,1,195.006206,1447.196935,0,0,1,0
5.049303717,1,35,9.513085538,0,267.642733,1662.510936,0,0,0,0
18.17247008,1,63,9.497106973,1,149.959755,1707.641161,0,1,1,0
15.31997698,1,63,12.21852573,0,220.114868,2181.752793,0,1,0,0
16.0708543,1,27,8.272244827,0,157.483594,1575.683555,0,0,1,0
7.873371451,4,19,10.24857935,0,127.474951,1029.489242,0,1,0,1
23.62866494,1,40,6.743431946,0,139.981577,2370.184448,0,1,0,1
25.8634566,0,42,12.4703522,0,255.133571,3309.919373,0,0,0,0
9.405224809,0,40,7.913676085,0,194.966286,1623.273925,1,0,0,0
12.84490034,0,72,9.362849722,0,179.965581,1146.199921,0,0,1,0
16.59325254,3,61,17.41324465,0,174.976769,2229.268031,0,0,0,0
20.35456039,0,71,13.43700846,0,187.609354,2512.36494,0,0,0,0
12.00925702,4,68,11.95206054,0,169.937833,1297.388488,0,0,1,0
2.861423443,1,88,4.550449856,1,115.002061,283.39178,0,0,0,1
14.20349453,1,64,6.09060584,1,152.462354,1947.7853,0,0,0,0
4.98152586,1,63,10.2863601,0,207.609354,849.1972541,0,0,1,0
23.12150846,0,53,11.17709222,0,147.503078,2131.359827,0,0,0,1
6.307178205,0,41,14.12145884,0,200.118516,1464.035068,0,1,0,0
12.73622643,2,63,7.799780591,1,137.497825,1381.538548,1,0,0,1
12.00466914,4,56,7.122072827,0,134.980139,1248.626874,0,1,0,1
2.243757398,2,27,9.329902365,0,147.442069,558.3751762,1,0,1,0
1.583394702,2,47,7.509389052,1,197.494455,676.2178659,1,0,1,0
14.23487852,4,42,15.06990851,1,162.529926,1641.938696,1,0,0,1
15.28108311,0,72,9.321265424,0,210.151777,1811.964373,0,0,0,1
4.135827839,3,58,3.564651961,0,159.965581,1066.632555,0,0,0,0
9.740709475,0,33,7.779622319,1,190.173699,1514.131966,0,0,0,1
1.213704886,6,87,10.74985413,1,202.649979,1189.549671,0,1,0,0
11.86252419,0,34,7.738373361,0,134.950905,1114.020282,0,0,1,0
2.416685985,7,76,12.01267388,1,142.500692,1078.291303,1,0,0,0
6.73327535,3,38,14.04748759,0,114.997564,854.2977548,0,0,0,1
6.549035393,0,47,3.11231175,0,232.62403,1489.077486,0,1,0,0
10.57197066,7,84,8.284591121,0,242.628057,1649.312808,0,0,1,0
3.379756569,4,19,6.269792565,0,202.443347,905.1959227,0,0,1,0
8.959047529,0,87,9.803905459,0,124.993537,684.6318529,0,1,0,1
10.23679934,3,75,8.571019738,0,174.976769,1662.533055,0,1,0,0
14.96503088,0,37,10.00344746,1,225.145743,2436.57146,0,0,0,0
23.79323993,1,52,4.255224068,0,275.133571,2677.74041,1,0,1,0
11.45675389,0,24,11.2714618,0,287.642733,1779.309609,0,0,1,0
11.04076215,4,83,8.477982632,1,177.65076,1494.716409,0,0,0,1
7.425503428,3,19,9.753145376,0,220.114868,1740.72604,0,0,0,0
2.411712843,1,78,14.57387887,1,197.516854,704.7552669,1,0,0,1
2.009542213,4,61,13.13441554,1,194.974431,558.4710883,1,0,1,0
9.068119482,0,38,11.62771397,0,175.133074,1282.279049,0,0,0,1
1.926789854,0,79,6.114030983,1,147.478341,287.8189836,0,0,1,0
11.77389421,0,49,12.76603868,0,134.980139,1129.529441,0,1,0,1
2.585228303,0,41,6.348897952,0,157.483594,394.0148722,1,0,1,0
9.517703088,0,75,16.10939031,1,255.141716,1302.230824,1,0,1,0
9.532523799,1,60,7.151598137,0,137.439154,970.4682919,0,1,1,0
23.103996,1,70,4.575363954,1,235.159141,2522.88913,0,0,1,0
5.104873611,0,23,13.42263904,0,147.460067,682.9871863,0,0,1,0
6.877942744,2,84,3.559550725,0,232.637807,1537.109931,0,0,0,0
21.17839683,1,63,5.971214226,0,137.439154,1961.923965,1,0,1,0
1.586331702,2,88,7.287197615,0,129.948316,676.1747964,0,0,0,0
3.778174405,0,44,11.30031859,1,242.632554,929.2607767,0,0,1,0
11.58276897,1,49,10.26519974,0,187.609354,1849.484087,0,0,0,0
11.62258922,8,32,16.28075484,1,232.652038,1998.680227,1,0,0,1
20.78013031,1,69,10.96553586,0,159.980465,1898.877878,1,0,0,1
3.940297464,2,60,10.93514898,0,159.947583,992.3501481,0,0,0,0
11.38099891,0,57,2.98020454,0,137.487242,994.6354785,0,0,1,0
1.473304337,8,62,17.05256354,1,245.131966,954.0290712,0,1,1,0
12.75609778,0,26,12.29165611,0,117.439154,1775.838153,0,0,0,0
6.253919786,0,85,10.32744663,1,209.993134,1297.050577,0,1,0,0
18.9537053,2,82,9.22949351,1,169.974105,1746.405243,1,0,1,0
9.640061615,2,40,10.02758972,1,197.470195,1698.465833,0,1,0,0
5.201330266,0,50,7.259022839,0,137.516476,665.4740915,0,0,0,1
12.42120946,1,71,10.97274944,0,207.475448,1886.153328,0,0,0,0
8.134438503,2,48,11.87042081,1,160.00128,958.6989908,0,0,1,0
14.86764776,0,24,9.531063533,1,147.478341,1446.203986,0,1,1,0
5.548652108,3,79,8.798065013,0,127.488728,774.6125757,0,1,0,1
18.35541838,4,82,15.27146446,0,139.981577,1939.811149,0,0,0,1
7.62779591,2,68,7.014445177,0,220.132293,1165.564309,0,0,1,0
4.439685675,5,77,10.62019312,0,214.952509,750.8768234,1,0,1,0
11.16903388,1,19,10.04585562,0,139.99789,1292.3206,1,0,0,1
14.14101821,1,80,10.88047174,1,270.160419,2335.130986,0,0,0,0
3.212400569,4,31,9.975481565,0,202.443347,769.8534863,0,1,1,0
16.84928353,2,62,7.248946018,0,172.47417,1729.837284,0,0,1,0
3.834727471,4,80,9.53003591,0,137.468388,649.3891796,0,0,0,1
6.198230305,1,36,6.592317798,0,104.962874,823.0046464,0,1,0,1
4.216732972,0,72,8.124261532,0,174.969934,1107.882056,0,1,0,0
4.355064781,0,50,11.44655577,0,139.99789,683.8622599,1,0,0,1
4.030250374,3,31,10.1755818,1,144.988941,1301.49424,0,1,0,0
9.915959247,0,22,13.7362126,0,114.997564,1079.012505,1,0,0,1
9.821728297,0,50,13.93422217,1,172.484753,1283.463995,0,0,0,1
9.183905417,0,28,3.405050602,0,124.97808,987.653655,0,0,1,0
8.892893007,0,63,10.69284712,1,174.991856,1088.263081,0,0,1,0
7.661226872,1,73,10.11985468,0,92.488023,583.0259559,0,0,0,1
12.4767812,3,72,5.863179258,0,139.965008,1778.733282,0,0,0,0
2.462148717,7,23,13.357551,0,192.470522,900.4043765,0,0,1,0
14.09942339,1,49,14.04061351,0,220.118516,1693.576099,1,0,1,0
7.272649386,1,82,4.586902043,1,232.622804,1143.826239,0,0,1,0
3.999030359,1,72,11.03563726,1,210.156274,886.340074,1,0,0,1
3.115945151,1,45,11.32768159,1,114.972827,373.2772664,1,0,1,0
13.67931764,1,73,5.307097721,1,149.977753,1245.328696,0,0,1,0
14.6728104,1,78,8.993783986,1,184.985293,1564.936841,0,0,1,0
5.953547112,4,71,11.05733159,1,132.479779,1354.401018,0,0,0,0
11.74635394,4,67,8.702618087,1,190.12704,1971.429689,0,0,0,0
5.954024226,1,43,7.045651851,0,92.488023,623.7865683,0,1,0,1
22.8577804,5,27,12.61411193,0,220.114868,3040.553763,1,0,0,0
1.407866545,2,39,9.703658153,1,107.495766,864.7036995,0,0,0,0
21.08265979,0,52,8.220453321,0,169.967067,2042.113893,0,1,0,1
11.10356439,9,19,8.816497541,1,222.679213,1973.661316,0,0,0,1
9.734064703,0,48,11.11756812,0,200.132293,1755.645123,0,0,0,0
12.21754865,0,22,13.07119875,0,262.610632,1758.735654,0,0,1,0
2.423722078,1,69,12.10865222,1,152.495236,557.0118807,0,0,0,1
13.66061487,1,31,9.681031902,1,202.636202,2205.334092,1,0,0,0
8.701581043,9,79,10.49495185,1,127.478341,1451.201108,1,0,0,0
4.844060027,0,65,7.535866122,0,159.983006,609.0598401,0,0,1,0
6.485034974,4,49,8.713443753,0,124.960655,1221.100604,0,0,0,0
1.14113241,6,69,7.191637555,0,252.62403,745.0493094,1,0,1,0
7.69213424,3,74,12.2870805,0,104.97808,1220.452161,0,1,0,0
13.73012915,3,27,10.66015784,1,204.961033,1771.472597,0,0,1,0
5.690013293,4,79,7.044096971,1,245.145743,1201.484293,0,0,1,0
6.68894661,1,41,12.14893118,1,95.019486,764.3017535,0,1,0,1
9.475983046,0,51,12.71107869,0,169.937833,1022.415622,1,0,1,0
4.893221514,0,57,9.759360165,0,207.475448,1284.442486,0,0,0,0
2.656915117,1,66,2.816821044,0,114.983787,289.9240291,0,0,0,1
8.381515693,4,85,9.617602049,0,232.637807,1718.600163,0,0,0,0
14.53315436,9,54,13.06640293,1,225.131966,2494.633068,0,1,0,0
13.62832619,8,79,8.669204519,0,212.641455,2270.749222,0,1,0,0
1.281566108,3,56,13.97477268,1,152.495236,567.6177123,0,0,0,1
3.365552603,1,80,11.19861363,0,134.950905,380.0501404,0,0,1,0
5.397827503,0,37,10.18921185,0,200.132293,1436.408211,0,0,0,0
9.001231999,7,24,9.518819692,1,197.470195,1852.503069,0,1,0,0
10.9750814,3,48,11.01996949,0,192.456745,1312.008382,0,1,1,0
7.825845378,0,68,14.91100172,0,162.471255,863.0820861,0,0,1,0
14.12966281,3,74,11.17971961,0,222.660939,1854.793303,0,0,0,1
14.66914461,1,37,12.16826675,0,114.950905,1778.431765,0,1,0,0
5.388165017,0,54,17.39213562,0,182.446995,764.2419259,0,0,1,0
2.810825808,1,84,12.02476736,1,95.005709,307.018806,0,1,0,1
2.485229169,10,68,6.6769165,0,172.456745,1179.782483,0,0,0,0
2.051069457,10,39,11.78679636,1,177.65076,1040.034575,0,1,0,1
6.10108047,4,85,7.846521648,0,207.638588,1080.159892,1,0,0,1
4.950398978,1,86,5.670110512,0,220.118516,775.5613336,0,1,1,0
10.16660427,1,70,13.37036883,0,137.468388,1061.587971,0,1,0,1
12.29558653,1,33,9.826229752,0,159.965008,1334.403775,0,0,1,0
24.8868126,1,58,12.07226102,1,182.465269,2346.143947,0,1,1,0
9.660361769,2,58,15.42491471,1,129.977753,1491.768656,1,0,0,0
7.663625954,4,42,8.601959705,0,112.484375,927.1279646,0,0,0,1
5.25445262,2,89,8.787582345,0,127.488728,686.9354616,1,0,0,1
13.59137366,2,63,6.362190982,0,162.471255,1460.513443,0,1,1,0
12.3492819,0,18,9.507249087,1,154.961766,1942.250203,0,0,0,0
18.37317391,4,82,12.06831191,0,194.976769,1923.549943,0,1,1,0
8.498042024,8,61,5.600227586,0,192.48852,1239.802036,1,0,1,0
22.33583015,7,36,13.15969677,1,162.452604,2499.186161,0,1,1,0
1.541545443,1,87,6.18537496,1,107.48056,302.3848209,0,1,0,1
