Children,Age,Outage_sec_perweek,OnlineSecurity,MonthlyCharge,Bandwidth_GB_Year,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None
0,28,9.316164,1,162.4653,5823.6249,0,0,0,0
2,23,12.50184778,1,184.964681,2384.885909,0,0,1,0
2,82,9.470361,0,142.4713,5994.514316,0,1,0,0
8,24,12.19579,0,184.967,6234.682273,0,0,1,0
3,39,12.67033,0,139.965,5866.495925,0,1,0,0
1,27,12.34578,1,210.1563,2911.171492,1,0,0,1
4,58,7.601803,1,197.5169,1518.895794,0,0,0,1
0,62,10.05354,1,235.1417,5640.808851,1,0,0,0
8,26,6.928805,0,129.995,5847.186613,0,0,0,1
2,81,12.02273,1,129.9915,6599.564823,0,0,0,0
1,78,5.982841,0,210.138,3784.965371,0,0,0,1
9,29,11.97729,0,159.9656,6287.497445,0,0,0,0
4,35,3.090771,0,174.9768,4839.828588,0,1,0,0
0,24,9.531063533,1,147.478341,1446.203986,0,1,1,0
1,29,13.1215267,0,182.467607,544.12326,0,0,1,0
0,48,8.546096292,0,194.976769,592.8646912,0,0,1,0
1,31,6.827972,0,207.6094,1643.441405,0,0,1,0
1,40,11.24987,0,139.9349,928.6314289,0,0,0,0
0,78,3.191798,1,142.5007,4815.278288,1,0,0,0
1,20,7.175714,1,174.9919,5555.86987,0,0,1,0
0,33,9.312883,1,175.0211,5447.179024,0,1,0,1
0,45,11.81019,1,257.6513,6681.250538,0,0,0,0
6,81,11.44144,0,134.9509,5499.748153,0,1,1,0
1,58,10.86371,1,154.9618,5824.155057,0,0,0,0
4,38,10.75982,0,230.1051,4067.92605,0,0,1,0
2,30,11.67122,0,204.9634,2380.995294,1,0,1,0
3,60,10.29324,0,147.5031,840.7473935,0,0,0,1
10,85,9.089124,0,167.4564,1383.430229,0,0,1,0
1,73,10.31976,1,152.4798,1427.811261,1,0,1,0
3,50,10.99852,0,104.9781,4162.046301,0,0,0,0
0,75,8.294186076,0,192.470522,409.7486664,0,0,1,0
5,55,13.15703,0,172.4885,2097.707886,0,0,0,0
1,30,7.733155,0,255.1198,6426.687397,0,0,0,0
0,30,11.05354,0,112.4551,254.7465501,0,0,1,0
1,44,12.19992,1,127.4958,1932.26875,0,0,1,0
0,84,6.638957,1,204.961,1063.934914,0,0,1,0
4,22,10.38882,0,162.4676,1301.182014,0,1,0,0
2,55,5.762293362,0,242.628057,961.4921994,0,0,1,0
3,80,11.48824,0,287.6427,1292.497362,0,0,1,0
2,61,4.838589,1,164.9647,5918.858621,0,0,0,0
0,59,10.259,0,179.9476,1372.679029,1,0,1,0
8,76,15.84252,0,182.4762,6285.098359,1,0,0,1
1,39,6.280831,0,255.1336,1965.90329,0,1,0,0
0,53,5.327354,1,137.4686,5994.956113,0,1,1,0
4,36,13.92475,0,212.6415,5702.76012,0,1,0,0
0,65,10.61107,1,235.1591,840.6246629,0,0,1,0
1,84,15.49091,1,117.5152,4181.676431,0,0,0,1
3,63,6.693519,0,172.4441,479.5519429,0,0,1,0
1,35,10.27532,0,134.9509,4904.294892,0,1,1,0
3,85,6.926083,0,210.1051,1703.524533,0,1,0,0
0,87,3.954662,0,147.4738,985.0942314,0,1,1,0
2,32,9.470573,1,139.9568,6177.436257,1,0,1,0
7,89,12.63119,1,232.6228,1436.945723,1,0,1,0
3,19,7.423334085,0,147.460067,1561.767949,0,0,1,0
3,74,6.115623,0,152.4907,4907.861735,0,1,0,1
0,19,13.83841,1,222.6326,1328.874126,1,0,0,0
0,54,12.09121,1,152.466,498.8080579,0,0,1,0
9,31,9.276057,1,242.6326,1110.320153,0,1,1,0
0,58,8.112139,0,242.6281,5912.297497,0,1,1,0
4,29,13.29045,0,255.1372,4912.958462,0,0,1,0
2,62,9.570705,1,164.9647,940.3579408,0,1,0,0
2,50,3.978796,0,147.5031,1149.144476,0,1,0,1
3,37,7.677464,0,149.9913,4259.291587,0,1,0,1
8,81,8.740627,0,240.1149,2018.432674,0,0,1,0
4,73,9.067273,0,124.9781,6101.379973,0,0,1,0
3,83,10.6224092,0,139.981577,825.6469228,0,0,0,1
1,47,11.41706,0,92.45514,6280.766215,0,0,0,0
1,27,6.306089367,0,149.937833,1554.416773,0,1,0,0
4,29,9.237382,0,200.1652,1131.789188,0,1,0,1
2,35,10.15194,1,235.1591,3729.770527,0,0,1,0
1,34,14.08607,0,104.9643,4996.04596,0,1,0,0
1,20,14.9103207,0,124.97808,2580.979643,0,0,1,0
1,46,7.545931,1,164.9853,2563.027756,0,0,0,0
3,69,14.22418,0,204.9797,5681.82038,0,0,1,0
2,49,10.43343891,1,94.972827,1304.854276,1,0,0,0
4,62,11.4166,0,139.9349,962.2206823,0,0,0,0
0,20,10.19664,1,159.9875,877.2126863,0,0,1,0
1,18,13.96589,0,182.4433,5288.937008,0,1,0,0
0,84,13.55077,0,175.1331,5675.888405,0,0,0,1
4,79,11.00449,0,149.9621,5487.786212,1,0,1,0
3,40,13.34978,1,174.9919,5600.00441,0,0,1,0
2,72,12.59476,1,197.4702,3903.674979,1,0,0,0
1,63,12.21852573,0,220.114868,2181.752793,0,1,0,0
3,38,8.141997,0,252.6378,1186.544217,0,1,1,0
1,67,10.15348,1,159.9875,5085.102968,1,0,1,0
4,22,8.231804,0,182.4433,6102.523323,0,1,0,0
0,40,9.329676,1,142.4526,5893.413959,1,0,0,0
0,34,10.89278,1,139.9792,5070.792059,0,0,0,1
1,44,8.256042,1,160.0013,2341.106117,0,0,1,0
4,75,11.36732,0,144.9607,5699.245355,1,0,1,0
0,82,9.097873,0,79.97886,1244.129071,1,0,0,1
2,33,8.919655,1,132.5127,1291.650867,0,0,0,1
10,36,8.634494,0,204.9496,6217.615271,0,0,1,0
1,20,9.299530649,1,132.466002,1333.027522,0,1,0,0
6,44,8.566319,0,127.4421,2060.536764,1,0,0,0
2,51,12.09389,0,149.9845,1224.72764,0,1,0,1
3,74,7.210451,1,172.4555,5483.045236,1,0,1,0
0,21,8.172079,1,137.4978,5847.437103,0,0,0,1
0,60,7.683526,0,124.9607,929.0075954,1,0,0,0
4,87,6.464421,0,172.4705,5922.604676,0,0,0,0
1,20,9.666671,0,159.9794,6565.889584,0,0,0,0
2,64,5.659084819,1,160.00128,1656.731409,0,1,1,0
7,25,9.88811,0,162.5005,1259.881706,0,0,0,1
1,33,10.81518,1,137.4978,5880.876863,0,0,0,1
0,45,8.308668,1,144.9889,1166.216656,0,0,0,0
0,80,10.16994,0,214.9663,5184.395666,0,0,1,0
4,70,2.911116,0,164.967,5871.888679,0,0,0,0
2,63,6.362190982,0,162.471255,1460.513443,0,1,1,0
0,19,11.64392,1,245.1283,5974.298824,0,1,0,0
1,49,12.9775086,0,182.460772,1048.128938,0,0,1,0
2,67,3.593769,1,207.4673,6026.66605,1,0,1,0
3,43,10.95773,0,162.4538,1360.253379,0,0,0,0
3,28,8.068417,0,147.4421,5392.876359,0,0,1,0
0,60,8.357857,1,164.9889,4149.822715,0,0,1,0
0,83,14.2471,1,187.4847,6269.314301,0,0,1,0
3,69,9.904571,0,137.4698,6271.997377,0,1,0,0
3,34,11.95689175,0,167.456419,522.7315686,0,0,1,0
0,47,14.10578,1,255.1555,864.371328,0,0,1,0
3,82,6.627375,1,225.132,6746.802832,1,0,0,0
2,27,13.3572,0,134.9801,4855.986258,0,0,0,1
2,74,14.37122,0,125.0073,2275.551071,1,0,0,1
1,78,7.201881,0,275.1198,5714.245646,0,1,1,0
1,44,4.708283677,0,202.443347,1204.39272,0,1,1,0
3,24,7.924796,0,162.4538,6300.056458,0,0,0,0
0,65,8.550845,1,152.4798,5025.121526,0,0,1,0
4,71,11.32763,0,137.4392,5549.125491,1,0,1,0
0,77,8.286499,0,112.4551,4224.557626,0,0,1,0
2,50,10.87347,0,117.472,3270.009915,1,0,0,1
1,87,8.064148,1,190.127,5796.781424,0,1,0,0
7,47,11.63648,0,232.624,6519.801796,1,0,0,0
4,60,5.672909,0,162.4713,2049.799984,0,1,1,0
8,35,16.2337,0,182.4433,5477.886159,0,1,0,0
6,18,11.99485,0,172.4742,1547.496008,0,0,1,0
1,36,13.18151,1,190.127,4499.020965,0,0,0,0
7,70,0.9952896,0,207.6094,1911.199623,0,0,1,0
0,63,8.259933,0,267.6427,5645.707551,0,0,0,0
2,74,8.73874,0,222.6609,1765.087747,0,0,0,1
3,48,16.42412,1,147.4783,5081.322485,0,0,1,0
3,61,8.689995,0,114.9509,1653.932692,1,0,0,0
1,89,8.849510435,0,139.981577,738.9464573,0,0,0,1
3,41,11.99123,0,182.4608,4447.513551,0,0,1,0
0,21,9.351682,0,167.4564,5992.278257,0,0,1,0
2,31,8.006529,0,159.9349,5934.434665,0,1,1,0
0,24,10.70987,0,182.447,5789.412751,0,0,1,0
0,55,13.87342,0,275.1198,4901.452536,0,1,1,0
0,52,12.40982989,0,220.132293,1943.761302,0,1,1,0
3,49,11.31682,0,112.4551,409.0267699,0,0,1,0
1,79,8.989878,0,182.447,650.4414677,0,0,1,0
3,65,7.645854,0,210.1051,5754.451842,0,0,0,0
4,48,8.517377,0,147.4893,4986.869447,0,1,0,1
1,86,7.868660851,0,104.962874,740.010722,0,1,0,1
4,64,14.71733435,0,169.944668,1507.046722,0,1,1,0
2,89,8.97713,1,167.4847,6192.473684,1,0,0,0
3,27,14.47410001,1,95.005709,617.4480514,0,0,0,1
3,89,6.890953,0,159.9349,486.381294,1,0,1,0
0,53,10.12368,1,187.4974,6069.26126,0,0,0,0
1,35,11.4017,0,149.9776,886.9671382,0,0,0,1
2,32,7.491292,0,184.9496,1225.408596,0,0,0,0
8,37,16.10566,0,194.9992,6335.816115,0,0,0,1
6,81,12.49098641,0,202.443347,1026.300872,0,0,1,0
8,73,9.596264,1,167.4847,1349.319824,1,0,0,0
3,58,6.605824,1,235.1555,5605.985814,0,0,0,0
3,28,11.24098,0,79.97886,4585.713564,0,0,0,1
2,26,12.38401,0,192.4885,5021.065195,0,1,1,0
1,33,7.529241,0,162.4713,5760.908084,0,0,1,0
2,82,15.08815,1,225.1457,1649.105838,0,0,0,0
2,36,12.46976,0,192.4567,4972.468459,0,0,1,0
8,33,2.63849,1,174.991,5202.411958,1,0,0,1
5,56,10.88222,0,147.4738,1164.755978,0,0,1,0
1,55,13.928,1,162.4526,520.7155239,1,0,1,0
1,73,12.85453,0,92.45514,5379.896069,1,0,0,0
2,31,9.31691,0,172.4871,977.9373731,1,0,0,1
4,79,15.9948,0,287.6427,4539.933056,0,0,1,0
1,38,9.195188,1,94.97283,6253.491089,0,1,0,0
1,46,5.905487,1,142.4827,4945.75643,0,0,0,0
0,24,9.632954,0,144.9607,4643.404934,0,1,1,0
3,25,7.881495,1,94.97283,5530.990602,0,1,0,0
1,81,11.10459,0,179.9476,5874.548599,0,0,1,0
5,60,10.10623,0,162.447,6622.410472,0,0,0,0
0,79,7.886543,1,137.4686,5328.678277,0,0,1,0
1,61,13.81801,1,142.4855,5431.697734,0,0,0,1
0,64,7.9732,0,159.9349,4834.745442,0,1,1,0
4,74,4.407345296,0,162.45383,991.7633623,0,0,0,0
2,38,12.10748,1,207.4673,6336.386835,0,0,1,0
1,52,8.541154,0,232.6378,5940.651428,0,0,0,0
4,82,10.01143,0,149.9845,889.2239784,0,0,0,1
0,42,6.683151371,0,202.443347,2154.298838,1,0,1,0
4,63,8.930603,1,127.4958,5901.736855,0,0,1,0
0,78,14.11524,0,139.965,1304.494778,0,1,0,0
1,57,13.50565,0,172.4705,1803.766672,0,1,0,0
4,46,12.37922958,0,139.934918,1965.419062,0,0,0,0
3,31,9.928856736,0,157.469817,554.7295152,0,1,1,0
0,53,19.10781,0,79.97886,4638.586726,0,1,0,1
2,65,8.541648101,1,164.988941,943.490788,0,1,1,0
3,86,8.270725,0,192.4885,722.5123131,0,0,1,0
0,28,13.01916,1,255.1417,1792.010429,0,0,1,0
2,72,15.80514,1,225.132,6727.30047,1,0,0,0
0,33,8.200976,0,149.9776,4974.663293,0,0,0,1
0,51,7.865494,1,169.9741,5432.427022,0,0,1,0
2,21,12.7185,1,162.4653,1810.906541,0,1,0,0
1,30,9.120411,1,194.9581,4453.928623,1,0,1,0
1,34,14.24573,0,139.9678,5323.572726,0,0,0,1
1,45,11.79283,0,194.9663,4072.167583,1,0,0,0
2,88,8.241715,0,159.983,4801.928653,0,0,1,0
1,81,7.885528,0,159.9476,5848.038669,1,0,0,0
1,57,13.91561,1,95.00571,888.9198648,0,1,0,1
2,47,2.205335,0,172.4579,5727.232268,1,0,1,0
0,39,8.163008,0,127.4421,744.427424,0,0,0,0
1,52,6.239127,1,149.9778,458.7691639,0,1,1,0
1,70,5.881302,1,154.9919,5109.745716,0,0,0,0
2,38,6.220807,0,127.4421,1094.624835,0,1,0,0
1,22,14.3962,0,242.6281,1021.343044,0,0,1,0
1,89,4.399685,0,134.9509,5695.706857,1,0,1,0
2,64,10.59251,0,162.4538,6557.961131,0,1,0,0
0,53,13.08874,0,142.4713,4254.251624,0,0,0,0
0,65,7.458066464,1,114.972827,335.9239723,1,0,1,0
1,50,8.427358,1,107.4806,5577.385772,0,0,0,1
2,55,7.918649,1,149.9598,5677.907968,1,0,1,0
2,45,8.01759,0,139.9349,5581.366717,0,0,0,0
10,55,2.081733,0,144.9607,6247.176227,0,0,1,0
1,43,11.42906,0,124.9643,4737.057384,0,0,1,0
3,75,11.96522,0,210.1518,1803.186158,1,0,0,1
0,22,15.39425705,0,172.487091,1695.851887,0,0,0,1
8,25,9.736531,0,124.9607,2523.250672,0,0,0,0
3,59,10.9733,0,187.656,969.0951508,0,0,0,1
3,84,10.13542,0,134.9509,5645.924053,0,0,1,0
0,29,8.566455,0,232.6707,4492.115868,0,0,0,1
0,48,9.4486,0,92.45514,6242.49162,0,0,0,0
1,36,11.60075,0,220.1185,5510.855205,0,1,1,0
1,41,12.88305,0,204.9797,5080.902489,1,0,1,0
10,69,15.98941,0,114.9838,6034.69613,0,0,0,1
2,89,13.23246,0,139.9512,1185.85182,0,0,0,0
0,58,8.796769,1,107.4806,4197.55311,1,0,0,1
0,35,8.915517,0,182.447,5128.90263,0,1,1,0
0,24,11.94896,1,174.991,1186.8504,0,0,0,1
4,19,15.05112,0,112.4844,5989.870888,0,0,0,1
8,51,8.22529209,0,104.964303,1964.775503,1,0,0,0
2,63,10.42239,0,127.5067,410.7703918,0,0,0,1
5,41,11.24877,0,159.965,6095.07687,0,1,1,0
0,85,6.977319,1,104.9923,4578.436559,0,1,0,1
2,64,9.88484,0,127.4887,569.8410423,0,1,0,1
0,69,8.293686,1,187.4811,6754.429939,0,0,0,0
3,53,10.74356,1,162.4653,6205.696339,0,1,0,0
1,35,10.8621377,0,242.610632,2088.48083,0,0,0,0
1,19,11.82514,1,190.1737,5999.971412,1,0,0,1
1,72,9.74065027,0,200.132293,1773.915003,1,0,0,0
1,22,8.257424,0,114.9976,5652.969841,0,0,0,1
3,29,10.99018,0,232.6415,929.5655793,0,0,1,0
2,79,8.200222508,0,240.114868,1614.036609,1,0,1,0
8,87,16.00915,0,149.9378,6568.053155,0,0,0,0
0,47,11.91801,0,227.4754,694.2731917,0,0,1,0
0,27,8.338588,0,162.4608,5450.915329,0,0,0,0
1,61,5.936265,0,124.9781,599.0290899,0,1,1,0
1,43,7.599065,0,92.48802,3788.13967,0,0,0,1
1,56,14.67675595,0,232.641455,769.7818684,0,1,1,0
2,68,7.014445177,0,220.132293,1165.564309,0,0,1,0
1,53,11.03946,0,184.967,904.3179865,0,1,1,0
2,20,10.4009592,0,232.62403,1810.319743,0,0,0,0
1,63,5.891678,1,197.4945,2499.22788,0,0,1,0
6,87,13.04143,0,207.4754,1536.363525,1,0,0,0
3,72,9.397798,1,174.9919,727.8878928,1,0,1,0
7,45,10.12377,0,137.4836,2060.606368,0,0,0,0
1,35,8.082617212,1,204.961033,661.2094379,0,1,1,0
6,70,11.95636,0,149.9378,6448.95087,0,0,0,0
0,68,11.78497,0,179.9476,5978.10151,1,0,1,0
1,75,7.352787,0,182.4676,4592.61237,0,1,1,0
0,28,7.006566848,0,137.439154,1950.886897,0,0,1,0
1,85,10.25643,1,172.4555,655.4787829,0,0,1,0
1,38,6.572112158,0,137.469817,718.7685676,0,0,0,0
2,54,12.24838,0,79.97886,638.1637463,0,1,0,1
1,22,4.648055,0,159.9512,4794.084269,0,1,1,0
0,59,10.13094024,0,220.132293,809.979871,0,0,1,0
1,52,11.51231,0,242.6143,5114.637099,0,0,1,0
7,24,9.518819692,1,197.470195,1852.503069,0,1,0,0
0,50,9.342874,1,144.9889,6528.343934,1,0,0,0
2,33,14.5768,0,157.4836,1062.367672,0,1,1,0
4,69,13.25877,1,182.4653,1001.378182,0,0,1,0
2,60,8.43066,1,140.0049,5568.279974,0,1,1,0
3,89,7.639596437,0,169.937833,427.0934802,0,0,1,0
0,75,10.20829,1,232.6228,808.114485,0,0,1,0
2,71,8.879706,1,265.1283,5114.91266,0,1,1,0
2,53,7.96371,0,194.9768,1444.696816,0,0,1,0
1,75,10.14631572,1,194.958118,2419.797484,0,1,1,0
3,83,21.20723,1,197.484,1468.274084,0,0,0,0
3,73,11.26135,0,112.4551,5680.973666,0,0,1,0
0,49,10.63472,0,104.9629,6109.236207,0,0,0,1
8,24,3.39885,0,230.1051,4940.002327,0,0,1,0
3,52,10.93180592,0,220.132293,939.8765686,0,1,1,0
1,86,1.556499,0,137.4872,4147.198681,0,0,1,0
1,77,7.789802026,1,202.636202,1608.002659,0,0,0,0
0,42,10.79349982,1,152.455519,1416.444695,0,0,0,0
0,63,13.52284721,0,194.966286,2070.376729,0,0,0,0
1,86,8.270133,0,127.475,412.7637414,0,0,0,1
1,27,6.516318,0,117.472,6144.768685,1,0,0,1
8,68,1.636634,0,159.9656,4790.240813,0,0,0,0
3,50,12.75802,1,127.482,2097.12893,0,0,1,0
4,65,9.329583,0,124.9781,1185.107111,0,0,1,0
0,63,10.69284712,1,174.991856,1088.263081,0,0,1,0
3,57,3.232997,0,114.9838,1251.456656,0,0,0,1
2,84,8.497383,1,184.9647,5631.487821,0,1,1,0
0,23,13.60153,1,182.497,1321.610648,0,0,1,0
2,31,3.888998584,0,204.949594,580.0697389,0,1,1,0
1,19,9.741873,1,245.175,5672.753791,0,0,0,1
1,76,10.9085806,0,210.138,673.9015902,0,1,0,1
4,88,10.33351,0,139.9816,1236.291583,1,0,0,1
3,19,7.65807,1,137.4686,657.1195012,0,1,1,0
1,60,6.273619,0,242.6106,4772.225208,0,1,0,0
1,21,9.984088,0,167.4564,5640.198172,0,0,1,0
0,51,11.17461,1,152.4555,2148.657258,1,0,0,0
1,26,9.693526,1,114.9728,5529.433476,0,1,1,0
0,60,10.79467,1,154.9618,5452.591282,0,0,0,0
4,54,12.62145,0,230.1344,900.0678019,0,0,0,1
1,62,5.123084,1,129.9915,5403.266437,0,0,0,0
1,87,7.841697,1,212.6228,1362.860416,0,0,0,0
4,39,5.282356868,1,107.528648,1104.883551,0,1,0,1
0,83,7.191449,0,137.4684,3419.03694,0,0,0,1
1,38,11.54247891,1,130.006414,780.2278932,0,0,0,1
1,41,10.77254,0,172.4404,6503.984053,0,0,0,0
0,43,10.21764,1,194.9581,4429.501145,0,0,1,0
3,66,5.254926,1,149.9915,5830.697844,0,1,1,0
0,70,6.554147,0,159.9794,1741.511236,0,0,0,0
4,81,10.64125,0,262.6106,6150.804869,0,1,1,0
7,71,9.037386,0,202.4433,6321.838223,1,0,1,0
4,70,9.55673,0,102.4746,398.8495205,0,0,0,1
1,79,5.274568,0,184.9496,5992.97277,0,0,0,0
2,24,13.25453,0,147.4738,6082.615608,0,0,1,0
0,48,10.2122,0,182.447,821.6574124,0,0,1,0
2,27,6.471033904,0,162.493654,1241.311162,0,0,0,1
2,73,9.146769,0,124.9781,5145.473955,1,0,1,0
2,59,7.033849177,1,277.651257,2115.879744,0,0,1,0
2,69,11.13796,0,114.9509,1454.178463,0,0,0,0
1,33,10.05136169,1,142.500692,1766.503802,0,0,0,0
3,59,12.8388,0,207.6094,5768.104658,0,0,1,0
1,34,6.300198,0,235.1372,6396.483969,0,1,0,0
1,18,10.13223,1,172.4555,5842.329497,1,0,1,0
3,27,15.81274,0,169.9447,865.1029349,0,1,1,0
4,68,6.936363,0,230.1051,4819.017885,0,1,1,0
0,34,6.26674205,0,164.967019,1099.763014,0,1,0,0
0,19,9.7879,0,139.9979,4957.435146,0,0,0,1
0,32,4.138782,0,182.4538,6211.505298,0,0,1,0
4,80,12.19116,0,164.967,6471.220737,0,0,0,0
2,78,13.74632,0,184.9634,5856.252247,1,0,0,0
2,63,11.55503,0,139.9678,492.0307787,0,1,0,1
2,52,6.346778536,1,162.452604,1566.001524,0,1,1,0
4,33,10.12355,0,92.45514,2693.549899,0,0,0,0
2,58,10.61585,0,137.4616,5245.350989,0,0,0,1
3,45,8.217405,0,204.9634,3735.933485,1,0,1,0
1,50,10.30116,0,172.4579,733.0960018,0,0,1,0
3,26,3.93506187,0,139.934918,1698.876321,1,0,0,0
1,86,10.75719664,1,132.479779,1477.960194,0,0,0,0
0,72,14.7506,0,147.4738,4752.863118,0,0,1,0
4,43,9.223376,0,172.4579,1017.061783,1,0,1,0
1,63,15.73786,0,149.9378,5060.874121,0,0,0,0
9,43,13.83721,0,159.9794,5658.119795,0,0,0,0
6,58,9.46119,1,245.175,6771.922364,0,0,0,1
2,76,14.32600086,0,204.949594,1114.13669,0,0,1,0
1,79,12.10243,0,92.45514,4611.303594,0,1,0,0
2,35,6.155514,1,142.5007,5710.355112,1,0,0,0
