customer_id,children,married,gender,churn,contract,internet_service,phone,multiple_phone,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,source
O942919,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.0,194.98,WGU
I167253,No,No,Female,Yes,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,8.0,152.46,WGU
R110564,Yes,No,Male,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,12.0,92.5,WGU
M278354,Yes,No,Female,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,10.0,127.49,WGU
W604879,Yes,No,Male,No,Two year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Automatic,8.0,184.96,WGU
X345797,Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Automatic,4.0,265.15,WGU
N189653,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Automatic,11.0,207.61,WGU
M562102,No,No,Male,No,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,12.0,152.46,WGU
X67911,Yes,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Automatic,2.0,200.13,WGU
O834546,Yes,Yes,Female,Yes,One year,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Electronic Check,24.0,212.66,WGU
I493092,No,No,Male,Yes,One year,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Automatic,4.0,255.12,WGU
H787644,Yes,Yes,Female,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Automatic,8.0,134.95,WGU
N582710,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,9.0,255.14,WGU
T689606,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Automatic,2.0,214.97,WGU
E330599,Yes,Yes,Female,Yes,One year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,5.0,270.16,WGU
C641592,Yes,No,Female,Yes,Two year,None,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Electronic Check,1.0,200.17,WGU
E24772,Yes,No,Male,No,Two year,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Automatic,20.0,149.94,WGU
A889769,Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,25.0,240.11,WGU
G391761,No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Automatic,10.0,127.5,WGU
A606860,Yes,Yes,Female,Yes,One year,DSL,Yes,No,No,No,No,No,Yes,Yes,No,Electronic Check,10.0,187.61,WGU
E186097,No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,Automatic,8.0,169.99,WGU
I627613,Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,No,Mailed Check,19.0,192.46,WGU
Z188641,Yes,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Automatic,14.0,120.0,WGU
A740543,Yes,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Automatic,2.0,195.01,WGU
W681476,No,No,Male,No,One year,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Automatic,2.0,139.96,WGU
G842176,Yes,No,Male,No,Month-to-month,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Automatic,5.0,114.98,WGU
Z852663,No,No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,4.0,207.64,WGU
C73741,Yes,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,Electronic Check,4.0,187.61,WGU
W258972,No,No,Female,No,One year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Automatic,4.0,134.95,WGU
G491883,No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Mailed Check,2.0,192.47,WGU
C302549,No,No,Female,Yes,Month-to-month,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,14.0,222.63,WGU
K581313,No,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Electronic Check,3.0,162.47,WGU
T46150,Yes,No,Male,Yes,Two year,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,Electronic Check,20.0,159.98,WGU
B260505,No,No,Male,No,Two year,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Mailed Check,18.0,184.98,WGU
W877056,No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Automatic,5.0,245.15,WGU
M478246,No,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Electronic Check,7.0,124.98,WGU
N417817,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Mailed Check,13.0,187.48,WGU
R180138,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Mailed Check,20.0,162.5,WGU
N931384,No,No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Electronic Check,7.0,182.47,WGU
O967373,No,No,Male,Yes,Month-to-month,None,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Automatic,14.0,222.66,WGU
G695985,Yes,No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Automatic,11.0,182.47,WGU
P33478,No,No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Mailed Check,3.0,220.16,WGU
K100436,Yes,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Electronic Check,17.0,169.94,WGU
L475907,No,No,Male,Yes,Month-to-month,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,23.0,204.96,WGU
A78095,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Electronic Check,4.0,204.96,WGU
X742990,Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Automatic,11.0,245.13,WGU
P347346,Yes,No,Nonbinary,Yes,Month-to-month,None,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Automatic,13.0,172.47,WGU
O235183,No,Yes,Male,Yes,Month-to-month,DSL,No,Yes,No,No,No,Yes,No,Yes,No,Automatic,15.0,172.46,WGU
R776311,Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Electronic Check,9.0,194.98,WGU
C25146,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Automatic,5.0,137.44,WGU
E722502,Yes,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Automatic,7.0,192.47,WGU
D515341,No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,Mailed Check,3.0,159.95,WGU
U972291,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Automatic,18.0,112.46,WGU
N374641,No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Mailed Check,13.0,174.96,WGU
R736057,No,No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Automatic,23.0,162.45,WGU
K401117,Yes,Yes,Female,No,One year,DSL,Yes,Yes,No,No,Yes,No,No,No,Yes,Mailed Check,6.0,137.48,WGU
O17401,Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,13.0,275.13,WGU
E779833,Yes,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,Yes,No,Electronic Check,7.0,127.44,WGU
Q527077,No,No,Male,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Electronic Check,9.0,210.14,WGU
Q765651,Yes,No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Automatic,22.0,147.46,WGU
W400552,Yes,No,Male,Yes,One year,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Automatic,5.0,242.66,WGU
S979985,Yes,No,Male,No,Month-to-month,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Mailed Check,10.0,114.98,WGU
E351590,Yes,No,Female,No,Month-to-month,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Automatic,8.0,187.66,WGU
J227824,Yes,No,Female,No,Two year,None,Yes,Yes,No,No,Yes,No,Yes,No,No,Automatic,8.0,149.99,WGU
S136858,Yes,No,Male,No,Two year,DSL,Yes,Yes,No,No,No,No,No,No,No,Automatic,7.0,124.96,WGU
N883325,Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,5.0,220.16,WGU
U700981,No,No,Male,No,Two year,DSL,No,Yes,No,Yes,Yes,Yes,No,No,No,Automatic,10.0,172.49,WGU
X267853,No,No,Male,No,Two year,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,Electronic Check,4.0,120.0,WGU
S985225,Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Mailed Check,5.0,220.16,WGU
X645702,No,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Mailed Check,6.0,139.97,WGU
I703479,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,Yes,Mailed Check,3.0,159.95,WGU
S370452,Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Automatic,9.0,184.95,WGU
D333249,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Mailed Check,10.0,252.64,WGU
O698848,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Automatic,9.0,112.46,WGU
M248356,Yes,Yes,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Electronic Check,8.0,179.98,WGU
E759213,Yes,Yes,Male,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Automatic,6.0,202.44,WGU
G106476,Yes,No,Male,No,One year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Automatic,7.0,197.47,WGU
D873414,Yes,No,Female,Yes,One year,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Mailed Check,15.0,255.16,WGU
X906302,No,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,12.0,174.98,WGU
Z245249,Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Electronic Check,4.0,169.99,WGU
T30358,Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Automatic,3.0,192.44,WGU
K974027,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Automatic,3.0,182.46,WGU
R464272,Yes,No,Male,No,One year,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Automatic,5.0,139.97,WGU
Q541158,Yes,Yes,Male,Yes,Month-to-month,None,Yes,No,No,Yes,No,No,No,Yes,Yes,Electronic Check,3.0,137.46,WGU
O707075,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Automatic,3.0,217.47,WGU
L229402,Yes,No,Nonbinary,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Mailed Check,3.0,210.14,WGU
Y259927,Yes,No,Male,No,Two year,DSL,No,No,No,No,No,Yes,No,No,Yes,Electronic Check,16.0,104.96,WGU
G820541,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Automatic,12.0,262.61,WGU
F672614,Yes,Yes,Female,Yes,Month-to-month,None,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Automatic,7.0,152.49,WGU
L686627,Yes,No,Female,Yes,One year,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Automatic,6.0,174.97,WGU
T660448,Yes,No,Female,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Automatic,15.0,220.12,WGU
G864898,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Mailed Check,6.0,162.45,WGU
V847401,Yes,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,3.0,184.96,WGU
X852253,Yes,No,Male,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Electronic Check,19.0,217.48,WGU
M482085,Yes,Yes,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,No,Mailed Check,14.0,220.12,WGU
L535753,No,No,Female,Yes,One year,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Automatic,8.0,187.64,WGU
K265986,Yes,No,Male,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Electronic Check,6.0,174.96,WGU
C695447,No,Yes,Male,Yes,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,20.0,252.64,WGU
T484755,No,No,Male,No,One year,None,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Automatic,15.0,130.02,WGU
X999392,No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,No,Automatic,3.0,162.48,WGU
N995093,Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Automatic,12.0,182.47,WGU
D478815,Yes,Yes,Female,No,Two year,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Mailed Check,6.0,139.93,WGU
I338069,Yes,No,Female,Yes,Two year,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Mailed Check,11.0,200.17,WGU
T278739,Yes,Yes,Male,Yes,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,16.0,202.68,WGU
R857699,Yes,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,Electronic Check,13.0,159.95,WGU
Q386914,Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Mailed Check,8.0,149.95,WGU
T132275,Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Yes,Electronic Check,8.0,149.96,WGU
T392167,Yes,No,Male,No,Two year,DSL,Yes,Yes,No,No,No,Yes,No,No,No,Electronic Check,12.0,137.47,WGU
J315269,Yes,No,Male,Yes,One year,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Automatic,10.0,187.66,WGU
B124449,No,Yes,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Mailed Check,16.0,164.99,WGU
P954849,No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Automatic,14.0,159.97,WGU
K20948,No,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Electronic Check,19.0,172.46,WGU
M893176,No,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Electronic Check,10.0,204.95,WGU
P765785,Yes,No,Male,No,One year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,7.0,147.47,WGU
X780945,Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,No,Electronic Check,13.0,162.47,WGU
H776847,Yes,No,Male,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,No,Mailed Check,9.0,119.96,WGU
A471876,Yes,No,Female,Yes,One year,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Automatic,4.0,207.61,WGU
B424659,Yes,No,Female,No,One year,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Mailed Check,3.0,195.0,WGU
F111037,No,No,Nonbinary,No,Two year,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Automatic,6.0,174.98,WGU
S690107,Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,Mailed Check,16.0,240.11,WGU
Q991854,Yes,No,Nonbinary,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Automatic,23.0,240.11,WGU
U560834,Yes,No,Male,No,One year,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Mailed Check,17.0,139.98,WGU
P452772,No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Automatic,13.0,240.11,WGU
B949126,Yes,No,Female,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Automatic,5.0,209.99,WGU
F697244,Yes,No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,No,Mailed Check,4.0,147.46,WGU
F501848,Yes,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Mailed Check,8.0,107.5,WGU
Q971369,Yes,No,Female,Yes,Month-to-month,None,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Automatic,2.0,152.5,WGU
W186069,Yes,No,Female,No,One year,None,Yes,No,No,No,No,No,No,No,No,Automatic,6.0,79.98,WGU
Y292243,No,Yes,Female,No,Two year,DSL,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,7.0,142.48,WGU
